file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,5,1,9,5974373,320556,7249920,1138688,906240,142336,6859
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,5,1,9,5974009,320554,7249920,1138688,906240,142336,6856
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,5,1,9,5974163,320555,7249920,1138688,906240,142336,6854
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,5,1,9,5975261,320563,7249920,1138688,906240,142336,6854
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,5,1,9,5974505,320544,7249920,1138688,906240,142336,6848
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,5,1,9,5974995,320548,7249920,1138688,906240,142336,6847
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,5,1,9,5975335,320547,7249920,1138688,906240,142336,6854
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,5,1,3,920180,320561,227848,1138688,28481,142336,1314
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,6,1,2,70,526409,0,8388608,0,1048576,843
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,6,1,2,70,526409,0,8388608,0,1048576,831
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,6,1,2,65,526409,0,8388608,0,1048576,793
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,6,1,2,71,526409,0,8388608,0,1048576,823
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,6,1,2,70,526409,0,8388608,0,1048576,820
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,6,1,2,68,526409,0,8388608,0,1048576,804
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,6,1,2,65,526409,0,8388608,0,1048576,796
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,6,1,2,67,526409,0,8388608,0,1048576,795
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,6,1,2,68,526409,0,8388608,0,1048576,801
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,6,1,2,72,526409,0,8388608,0,1048576,804
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,6,1,2,66,526409,0,8388608,0,1048576,809
